Trade_Frequency,Day_Trade,Nstock_clean,Lottery_Stocks,Stress_Level,Smoke,Drink_Alcohol,Addiction_Score,Gambling_Score,Male_Dummy,Age,Single_Dummy,Income,Master_Dummy,Risk_Tolerance_Score,Financial_Literacy,Est_Interval,Percent_better_than_me,Experience,Return_needed_for_exp,Derivative_Warrant,Margin_Account
1,0,0,0,3.5,1,1,0,1,0,28,0,100000,0,4,5,1508.47,1,1,0,0,0
3,0,4,1,4,0,0,0,1.25,0,33,1,100000,1,6,9,75,50,3,1,1,0
1,0,0,0,3.5,1,1,1,1,1,31,0,50000,1,5,4,50,50,1,1,0,0
3,1,25,0,2,0,0,0,1,0,49,1,350000,0,8,9,150.74,40,3,1,0,0
1,0,0,0,4,0,0,0,1,0,30,1,200000,1,4,4,400,70,1,0,1,0
5,1,10,1,3.5,0,0,1,1,1,30,0,50000,1,7,5,100,50,4,1,1,0
5,1,6,1,3.5,0,0,0,1,0,32,1,50000,1,5,9,150,60,3,0,0,0
1,1,0,1,4.5,0,0,1,1,0,30,0,40000,1,4,9,150,80,1,1,0,0
3,1,3,0,3,1,1,1,1,1,34,0,60000,1,5,8,100,80,3,0,0,0
3,1,4,1,4,1,1,1,2.75,1,29,1,60000,1,6,8,50,99,2,0,1,0
3,0,5,1,4,0,0,0,1,0,33,1,55000,1,4,6,200,50,1,1,0,0
2,0,3,1,4.5,0,0,1,1,1,32,1,10000,1,8,9,200,50,4,1,1,0
3,1,12,1,3.5,0,1,2,1.25,0,31,1,35000,1,5,9,160,80,1,1,1,0
4,1,12,1,5,0,0,4,1.5,1,35,0,90000,1,6,7,100,20,4,1,1,0
1,0,3,1,2.5,0,1,1,1,1,34,0,150000,1,5,9,200,90,3,1,0,0
